_source.title,_source.content,_source.published_date
Bangladesh open to out-of-court settlement over $81 million cyber heist,"Bangladesh would consider an out-of-court settlement with a bank in the Philippines over $81 million stolen from its accounts in New York by hackers who wired the money to Manila, Bangladesh central bank officials said on Thursday. In one of the world's biggest cyber heists, the hackers stole the Bangladesh Bank money held at the New York Fed in February 2016 using fraudulent orders on the SWIFT payments system and sent it to Rizal Commercial Banking Corp . From there, it disappeared into the casino industry in the Philippines. No one has been charged for the heist despite an international investigation and two years of finger-pointing among Bangladesh, Philippines, the Fed and SWIFT. """"There is an option before us to settle the issue out of court,"""" a senior official at Bangladesh's central bank told Reuters. The official, who declined to be identified, cited as a precedent an out-of-court settlement in February reached by Ecuador's Banco del Austro and Wells Fargo over a 2015 cyber heist. Bangladesh's Finance Minister Abul Maal Abdul Muhith on Thursday met Carlos Dominguez, Finance Secretary of the Philippines, on the sidelines of a four-day annual meeting of the Asian Development Bank in Manila to discuss the cyber heist, said two senior central bank officials close to the issue. Bangladesh is yet to take legal action but had planned a suit to recover $66 million. Around $15 million has been recovered from a Manila junket operator, a job that involves marketing casinos to VIPs. """"We will try for all possible options to recover our stolen money,"""" the officials added. There was no immediate comment from Dominguez or Rizal bank in Manila.",2018-05-04T19:42:20+06:00
7 held over question paper leak,"The seven detainees held by the DB police over question paper leak on December 8, 2018 Collected

USB drives, Bluetooth devices, SIM cards and mobile phones were also recovered in the drive

Detective Branch (DB) of Police has detained seven people for their alleged involvement in leaking question papers of recruitment examinations through electronic devices.

Shohel Rana, Mahmudul, Ansarul Islam, Debasis, Rabiul Auwal, Rajiur Rahman and Rejaul Karim were arrested from Dhaka's Mirpur, Kalabagan and Shiddeshwari areas on Friday.

The detainees were also allegedly involved in helping people cheat in the recruitment test for Department of Narcotics Control (DNC).

The DB police also recovered USB drives, Bluetooth devices, SIM cards and mobile phones from the possession of the detainees.

DMP Deputy Commissioner Masudur Rahman, in a press briefing on Saturday, said: “Among the detainees, Shohel has been held before for the same offense, but he had secured bail later.”

He said they were also involved in leaking question papers of different recruitment examinations.

Masudur Rahman said in the preliminary interrogation, they learned that this time they had leaked the question papers of DNC recruitment test.

He said: “We also found out that among the detainees, three sat for the exam with electronic devices.

“Later, they sent the question papers to the other four, who solved the problem and resend the solutions to their clients.”

The deputy commissioner said they charged Tk5 to 10 lakh for the work. However, the payments were made after the clients passed their exams.

He said: “We filed a case against with Ramna police station. We have submitted a request to the court seeking permission for remanding them.”",2018-12-08T15:30:25+06:00
Cops nab suspects over Kota Kinabalu couple assault,"Police have arrested the two main suspects of an assault case in which a married couple was beaten up in front of shop at the Api-Api Centre here. — iStock.com pic via AFP

KOTA KINABALU, June 6 — Police have arrested the two main suspects of an assault case in which a married couple was beaten up in front of shop at the Api-Api Centre here, an incident that was caught on camera and went viral.

Kota Kinabalu acting district police chief Supt George Abd Rakman said the suspects, aged 67 and 37 respectively, were apprehended on Tuesday, two days after the 1am incident on June 2.

“The two men will be charged in court tomorrow and we are still looking for several other individuals involved in the incident,” he said in a statement here, today.

Footage from a closed-circuit television camera (CCTV) that later went viral on social media showed a couple being beaten up in front of shop at the Api-Api Centre.

George said the male victim, a Pakistani and his wife were assaulted by a group of individuals due to property rental issues.

“Just before the incident, the victims, who were renting the property concerned, were approached by a woman and man, and a discussion among them turned into a heated argument before escalating into a physical fight that involved the father and brother of the landlord,” George said.

The case is being investigated under Section 147 of the Penal Code which provides for a jail term of up to two years, or a fine, or both, upon conviction. — Bernama",2019-06-05T16:00:00+00:00
The Star Online.,"MAKKAL Osai highlighted the plight of residents of Sungai Karangan near Gurun, Kedah, who have endured the pungent smell and the threat of worm infestation from a chicken farm for the past two years.

Resident T. Murthy said they decided to organise public demonstrations after their complaints fell on deaf ears.

“Some political leaders promised to find a solution during the last general election but nothing was done.

“The pungent smell emanating from the chicken farm has caused many children to fall sick,” he said.

Murthy added that the farm operator claimed that the company had ordered RM30,000 worth of machinery to reduce the problem.

> The paper also reported that the Indian external affairs ministry had informed the Madras High Court that a Sri Lankan minister cannot be charged for a shooting case as he has diplomatic immunity.

The ministry said the arrest of Sri Lanka's traditional industries and small enterprise development minister Douglas Devananda would affect relations between the two countries.

Lawyer P. Pugazhendi had filed a petition asking the court to arrest Devananda during the latter's visit to India in June last year.

Pugazhendi said Devananda, then a member of Sri Lanka's separatist Eelam People's Revolutionary Liberation Front, is wanted in a 1986 shootout and murder case in Chennai.

In that incident, Devananda and several other Sri Lankan men had opened fire on local residents, killing one.

He was also accused of kidnapping a boy in 1988.

Other News & Views is compiled from the vernacular newspapers (Bahasa Malaysia, Chinese and Tamil dailies). As such, stories are grouped according to the respective language/medium. Where a paragraph begins with this > sign, it denotes a separate news item.",2011-09-22T16:00:00+00:00
The Star Online.,"A WIFE was dragged into a room, tied up and raped by her husband after an argument, reported Harian Metro.

The man lost his temper when his 29-year-old wife refused to follow him to her mother's home for a kenduri (feast) as she wanted to go for a company dinner.

According to a source, the husband, 29, got angry when he saw his wife getting ready to attend the dinner at their home in Pandan Indah in Ampang, Kuala Lumpur.

“He tried to stop her from going as he wanted her to accompany him to his mother-in-law's place,” said the source.

The husband blew his top when she refused to listen to him and tied her hands with a piece of cloth.

“She was dragged into a room and forced to have sex,” he said, adding that the husband freed her before leaving.

The victim lodged a report at the Pandan Indah police station.

> A man claimed in the magistrate's court that he had to sell porn DVDs to support his family, reported Sinar Harian.

Raziman Ramli, 24, pleaded guilty to selling the DVDs and was fined RM2,000 on Thursday.

He was caught red-handed selling porn DVDs opposite a 24-hour sundry shop in Gelugor, Penang at about 8pm on May 22.

Raziman was charged under Section 292 (A) of the Penal Code.

Other News & Views is compiled from the vernacular newspapers (Bahasa Malaysia, Chinese and Tamil dailies). As such, stories are grouped according to the respective language/medium. Where a paragraph begins with this > sign, it denotes a separate news item.",2011-09-30T16:00:00+00:00
The Star Online.,"PETALING JAYA: The whereabouts of a Malaysian abducted in Ivory Coast almost five months ago still remains unknown.

Pandian Chelliah, 47, his French boss and Sifca Group founder Yves Lambelin, Lambelin's assistant Raoul Adeossi from Benin and Novotel hotel's French director Stphane Frantz di Rippel were abducted from the same hotel in Abidjan on April 4 during the height of the civil unrest there.

A Wisma Putra official said yesterday they were still looking for Pandian.

“There has been no new leads but as far as we are concerned, he is still missing. We cannot say he is dead when there is no body, proof or information to verify the (local) reports.

“We have requested information from the Ivorian government but there has been no response so far. His fate is still unknown and we do not want to speculate.”

Ivory Coast media reports said forces aligned to ousted former president Laurent Gbagbo kidnapped the four men and took them to the presidential palace.

Quoting the Justice Minister Jeannot Kouadio Ahoussou, the African media reported that the bodies of the four men were believed to have been wrapped in black plastic bags similar to those used to package bananas, before being thrown into a lagoon.

The revelation was made following the arrest of the abductors.

Two remains were subsequently found, but only Lambelin was positively identified.

Pandian and Adeossi are still listed as missing.

Pandian was the managing director of Sania, a subsidiary of Sifca which is the largest private company in the Ivory Coast.

Pro-Gbagbo forces including militiamen, police commissioners and republican guards have been charged with the abduction of the four.",2011-09-02T16:00:00+00:00
The Star Online.,"SEREMBAN: A man who walked into a service centre near here on the pretext of servicing his Perodua Myvi shocked patrons and the outlet owner when he drove away another customer's newly-serviced BMW.

However, he was arrested the next morning while attempting to drive the car out of a parking lot outside a row of shophouses near his home in Sikamat near here.

Police also seized two other vehicles parked near the rented home of the suspect a Mitsubishi Triton and a Kia Spectra. The Myvi was also reported stolen earlier.

Preliminary investigations revealed that the suspect, in his early 40s, had gone on a spree, stealing several other cars including Honda, Toyota and Nissan models from service centres and workshops, state police chief Senior Asst Comm Datuk Osman Salleh said.

“The thefts were reported in the Klang Valley in recent weeks. Investigations reveal this is a one-man show,” he told reporters yesterday.

He added that the suspect, who was from Perak but did odd jobs in Kuala Lumpur, had been jailed twice for criminal offences.

He had been renting the house here for the past three months.

“His modus operandi was simple. He would observe happenings at a particular workshop or service centre, coolly walk in and just drive the car away,” he said, adding that there was a possibility that the stolen cars might have been cannibalised and sold to spare part dealers.

SAC Osman advised those who had bought cars below the market value to notify the nearest police station as they might be driving stolen vehicles.

Those found driving such vehicles can be charged with having stolen property.",2011-08-24T16:00:00+00:00
The Star Online.,"SUNGAI GOLOK (South Thailand): The Thai government announced Tuesday that it had paid compensation totalling RM60,000 to the six families of Malaysians killed in the series of bomb blasts, here, in September.

Sungai Golok deputy security officer, Santi Chuduang said RM5,000 was also allocated to five Malaysians who were injured in the incident.

""""The compensation was given to them in October and November. This shows the Thai government's concern for the victims and their families,"""" he told Malaysian reporters after a security meeting and demonstration in Kampung Arissra, here.

He said each family of the six Malaysians killed were given RM10,000 while the injured received RM1,000 each.

The six Malaysians killed here on Sept 16 were Wong Kai Sean, 3, his grandfather, Wong Hong Yep, 64, Chan Yau Wing, 52, Foong Too Keh, 45, Chan Yew Soon, 63, and Ng Sai Kai, 63. Injured were Lai Yok Long, Wong Wai Siong, Wee It Cheng, Phoo King Kuang and Cheng Yew Mang.

Chuduang, who is also Sungai Golok district officer, however, said the compensation would be increased if the injuries became serious and caused permanent disability.

Meanwhile, Malaysians have been told not to worry about coming here as the authorities are always taking measures to ensure security in Sungai Golok.

Sungai Golok deputy police chief Lt Col. Toweesak Tongsangsee said a 26-year-old Thai man had been charged over the bombings.

He said police were hunting for at least 10 individuals believed to be involved in the bombings.

""""We seek cooperation including from the Malaysian authorities if they know the identity of the people we are looking for,"""" he said. - Bernama",2011-12-26T16:00:00+00:00
120 test positive for drugs in Bangkok pub raid | Bangkok Post: news,"More than 200 customers, many wearing student uniforms, were found inside Space pub in Bang Khen district, Bangkok early Wednesday. 120 of them tested positive for drugs. (Photo taken from www.fm91bkk.com)

A total of 120 pub-goers tested positive for drugs and packages of narcotics seized during a police raid on a pub in Bangkok’s Bang Khen district in the early hours of Wednesday

A combined team of city police and narcotics suppression officials raided Space pub on Pradit Manutham Road in Tha Raeng area at around 3am.

Hundreds of people, mostly dressed in student uniforms, were found dancing and drinking inside the one-storey pub. They fled in panic, but around 200 pub-goers were soon rounded up. Small packages of drugs, including ecstasy, ketamine and electronic cigarettes, were found scattered around the area, Thai media reported.

Sumet Ruamkaew, 28, admitted to being the pub's manager, police said.

Pol Col Jirakrit Jarunpat, commander of the police's women and children welfare division, who led the raid, said the pub had been in operation for two months.

Police received information that narcotics were being used inside the venue, and coordinated with other agencies to conduct the raid.

No customers aged under 18 were found inside. All the pub-goers were asked to submit urine tests and 120 of them -- including 70 men and 50 women -- tested positive for drugs. The pub would be ordered closed for 5 years, said Pol Col Jirakrit.

Police initially charged the pub manager with operating the pub illegally, operating beyond legal opening hours and illegal sales of alcohol in violation of an order issued by the National Council for Peace and Order.",2019-05-29T04:29:00+00:00
The Star Online.,"SHAH ALAM: A police computer forensic analyst in the murder trial of Datuk Sosilawati Lawiya and three others said he received 11 handphones belonging to two of the victims.

Asst Supt Mohd Zulkifly Mohd Isa, 31, from Bukit Aman, testified that he received two BlackBerry 9700 handphones for analysis from investigating officer ASP Ishak Yaakob on Sept 17 last year.

It was earlier testified that two black and white BlackBerry handphones, belonging to bank officer Noorhisham Mohammad and lawyer Ahmad Kamil Abdul Karim respectively, were recovered at a water lock near the Banting wet market.

Both Noorhisham and Ahmad Kamil went missing with Sosilawati and her driver Kamaruddin Shamsuddin on Aug 30, 2010, after telling their families and friends that they were going to Banting to discuss a land deal.

ASP Mohd Zulkifly said the two BlackBerry units were in a package.

“The devices were misted over inside. I took them out and used a blower to dry them. I did this at the handphone lab,” said the witness.

On Sept 17 and 20 last year, ASP Mohd Zulkifly received other exhibits from ASP Ishak and a colleague known as Insp Suzana.

The exhibits were several SIM cards, handphone memory cards (microSD and MMC types), handphone batteries and an 8GB Data Traveler USB flash drive.

On Sept 23, 2010, ASP Mohd Zulkifly returned the exhibits to Insp Suzana.

He is the 76th witness testifying in the trial against former lawyer N. Pathmanabhan and three of his farm hands – T. Thilaiyalagan, R. Matan and R. Kathavarayan.

The four are charged with the murder of Sosilawati, 47, Kamaruddin, 44, Noorhisham, 38, and Ahmad Kamil, 32.

The hearing continues today.",2011-11-29T16:00:00+00:00
